Date,Price,Open,High,Low,Vol.,Change %
"Jun 13, 2013",4695.76,4724.50,4724.50,4658.60,834.92M,-0.0061
"Jun 12, 2013",4724.45,4757.10,4757.10,4710.00,770.02M,-0.0069
"Jun 11, 2013",4757.06,4737.70,4758.40,4735.40,689.68M,0.0041
"Jun 07, 2013",4737.70,4781.20,4783.30,4732.30,715.10M,-0.0091
"Jun 06, 2013",4781.17,4832.00,4832.00,4778.10,750.68M,-0.0112
"Jun 05, 2013",4835.21,4900.80,4900.80,4831.10,797.02M,-0.0134
"Jun 04, 2013",4900.81,4888.30,4907.20,4864.70,724.40M,0.0026
"Jun 03, 2013",4888.31,4926.60,4933.30,4888.30,638.43M,-0.0078
"May 31, 2013",4926.57,4942.20,4962.90,4922.80,1.19B,-0.0008
"May 30, 2013",4930.68,4974.70,4974.70,4897.90,753.59M,-0.0089
"May 29, 2013",4974.73,4970.70,4993.20,4960.30,762.33M,0.0008
"May 28, 2013",4970.65,4959.10,4981.30,4950.10,672.73M,0.0022
"May 27, 2013",4959.86,4983.80,4983.90,4931.20,704.69M,-0.0047
"May 24, 2013",4983.50,5062.40,5083.50,4954.90,997.64M,-0.0156
"May 23, 2013",5062.45,5160.20,5160.20,5058.60,1.23B,-0.0199
"May 22, 2013",5165.36,5187.50,5203.40,5154.00,986.49M,-0.0028
"May 21, 2013",5180.06,5207.80,5207.80,5160.60,762.08M,-0.0056
"May 20, 2013",5209.03,5187.20,5246.90,5187.20,619.42M,0.0055
"May 17, 2013",5180.77,5175.60,5194.90,5168.60,718.92M,0.0029
"May 16, 2013",5165.66,5191.70,5211.60,5156.80,797.78M,-0.0050
"May 15, 2013",5191.66,5222.30,5249.60,5168.50,712.80M,-0.0056
"May 14, 2013",5220.99,5210.30,5227.10,5207.10,643.53M,0.0020
"May 13, 2013",5210.34,5203.50,5219.20,5190.20,589.38M,0.0008
"May 10, 2013",5206.09,5200.00,5242.50,5198.20,602.43M,0.0015
"May 09, 2013",5198.38,5194.20,5211.50,5182.30,766.80M,-0.0003
"May 08, 2013",5199.75,5152.40,5201.90,5150.40,804.06M,0.0109
"May 07, 2013",5143.73,5162.70,5166.70,5118.90,665.34M,-0.0024
"May 06, 2013",5156.20,5146.70,5201.30,5145.50,550.93M,0.0052
"May 03, 2013",5129.50,5130.00,5183.20,5126.50,548.60M,-0.0001
"May 02, 2013",5129.97,5166.20,5166.20,5117.40,605.80M,-0.0070
"May 01, 2013",5166.18,5187.30,5188.10,5159.60,450.43M,-0.0048
"Apr 30, 2013",5191.22,5125.80,5195.10,5125.80,690.05M,0.0128
"Apr 29, 2013",5125.81,5097.50,5130.30,5097.50,410.86M,0.0056
"Apr 26, 2013",5097.51,5113.90,5135.00,5097.40,615.84M,-0.0010
"Apr 24, 2013",5102.43,5022.90,5103.60,5022.90,932.39M,0.0172
"Apr 23, 2013",5016.23,4966.60,5036.50,4966.60,700.27M,0.0100
"Apr 22, 2013",4966.55,4931.90,4966.60,4931.90,489.09M,0.0070
"Apr 19, 2013",4931.91,4924.40,4960.40,4918.40,754.29M,0.0015
"Apr 18, 2013",4924.42,4988.50,4992.60,4924.40,1.05B,-0.0160
"Apr 17, 2013",5004.56,4950.80,5006.10,4950.80,743.16M,0.0108
"Apr 16, 2013",4950.85,4967.90,4967.90,4914.00,793.89M,-0.0034
"Apr 15, 2013",4967.91,5005.30,5005.30,4933.30,655.03M,-0.0091
"Apr 12, 2013",5013.53,5006.50,5023.00,5006.10,732.73M,0.0013
"Apr 11, 2013",5007.07,4968.00,5013.20,4968.00,769.13M,0.0079
"Apr 10, 2013",4967.99,4987.20,4991.90,4956.30,820.44M,-0.0018
"Apr 09, 2013",4976.84,4905.50,4976.90,4905.50,1.01B,0.0145
"Apr 08, 2013",4905.49,4891.40,4914.00,4889.60,593.78M,0.0029
"Apr 05, 2013",4891.43,4919.90,4924.00,4883.70,715.79M,-0.0045
"Apr 04, 2013",4913.48,4949.90,4949.90,4902.20,683.92M,-0.0089
"Apr 03, 2013",4957.68,4989.80,5011.90,4934.60,800.74M,-0.0056
"Apr 02, 2013",4985.51,4966.50,5005.60,4964.80,608.68M,0.0038
"Mar 28, 2013",4966.50,4995.00,4995.00,4966.50,841.07M,-0.0057
"Mar 27, 2013",4994.99,4959.20,4995.00,4956.80,555.75M,0.0090
"Mar 26, 2013",4950.25,4981.00,4981.00,4942.50,628.57M,-0.0080
"Mar 25, 2013",4990.20,4968.80,5023.20,4968.80,514.56M,0.0046
"Mar 22, 2013",4967.26,4956.30,4983.60,4927.90,536.81M,0.0016
"Mar 21, 2013",4959.41,4967.30,4998.90,4947.80,1.01B,-0.0016
"Mar 20, 2013",4967.35,4987.40,4988.10,4937.50,728.69M,-0.0040
"Mar 19, 2013",4987.40,5023.10,5057.40,4987.40,771.14M,-0.0056
"Mar 18, 2013",5015.40,5101.70,5101.70,5014.70,844.34M,-0.0205
"Mar 15, 2013",5120.24,5032.20,5120.20,5032.20,1.26B,0.0175
"Mar 14, 2013",5032.22,5089.70,5103.40,5032.20,864.62M,-0.0118
"Mar 13, 2013",5092.40,5120.80,5121.80,5079.90,738.06M,-0.0050
"Mar 12, 2013",5117.87,5150.50,5163.50,5117.87,686.79M,-0.0056
"Mar 11, 2013",5146.90,5120.80,5148.40,5115.00,592.22M,0.0046
"Mar 08, 2013",5123.44,5109.20,5131.20,5102.00,752.50M,0.0028
"Mar 07, 2013",5109.20,5120.00,5135.70,5086.50,730.15M,-0.0015
"Mar 06, 2013",5116.79,5075.40,5131.60,5075.40,823.76M,0.0082
"Mar 05, 2013",5075.36,5010.50,5095.00,5010.50,756.68M,0.0129
"Mar 04, 2013",5010.52,5086.10,5086.10,5009.60,701.47M,-0.0149
"Mar 01, 2013",5086.13,5104.10,5104.10,5062.10,968.57M,-0.0035
"Feb 28, 2013",5104.08,5036.60,5112.50,5036.60,1.19B,0.0134
"Feb 27, 2013",5036.59,5011.60,5043.20,5011.60,665.05M,0.0066
"Feb 26, 2013",5003.57,5036.80,5038.60,4978.40,693.46M,-0.0103
"Feb 25, 2013",5055.77,5016.80,5064.30,5016.80,737.76M,0.0075
"Feb 22, 2013",5018.15,4980.10,5055.30,4975.90,920.06M,0.0076
"Feb 21, 2013",4980.09,5069.20,5076.00,4980.09,929.05M,-0.0233
"Feb 20, 2013",5098.71,5081.90,5106.60,5081.90,902.83M,0.0033
"Feb 19, 2013",5081.90,5063.40,5081.90,5045.80,726.09M,0.0036
"Feb 18, 2013",5063.42,5041.20,5070.50,5030.90,942.78M,0.0059
"Feb 15, 2013",5033.92,5031.90,5044.40,5021.00,708.65M,-0.0006
"Feb 14, 2013",5036.88,5003.70,5045.40,4998.30,890.94M,0.0066
"Feb 13, 2013",5003.66,4959.00,5013.60,4959.00,719.15M,0.0090
"Feb 12, 2013",4958.98,4959.50,4981.50,4959.00,566.58M,-0.0001
"Feb 11, 2013",4959.50,4971.30,4977.80,4959.50,530.16M,-0.0024
"Feb 08, 2013",4971.30,4932.90,4971.30,4928.50,680.95M,0.0072
"Feb 07, 2013",4935.70,4914.90,4938.20,4907.90,704.56M,0.0030
"Feb 06, 2013",4920.95,4882.70,4931.20,4882.70,751.35M,0.0078
"Feb 05, 2013",4882.72,4896.00,4897.40,4869.50,694.29M,-0.0051
"Feb 04, 2013",4907.52,4921.10,4951.30,4907.50,534.90M,-0.0028
"Feb 01, 2013",4921.10,4878.80,4922.60,4878.80,624.98M,0.0087
"Jan 31, 2013",4878.78,4896.70,4906.20,4866.50,761.85M,-0.0037
"Jan 30, 2013",4896.69,4889.10,4906.20,4886.30,647.04M,0.0016
"Jan 29, 2013",4888.98,4842.40,4896.60,4841.60,823.35M,0.0111
"Jan 25, 2013",4835.17,4810.20,4835.20,4810.20,823.89M,0.0052
"Jan 24, 2013",4810.22,4783.70,4814.20,4779.20,691.89M,0.0047
"Jan 23, 2013",4787.83,4788.60,4802.20,4787.80,679.10M,0.0018
"Jan 22, 2013",4779.08,4777.50,4801.70,4767.30,616.42M,0.0003
"Jan 21, 2013",4777.50,4773.30,4779.70,4762.60,530.37M,0.0013
"Jan 18, 2013",4771.23,4756.60,4782.60,4756.60,635.42M,0.0031
"Jan 17, 2013",4756.63,4738.40,4787.20,4738.40,784.67M,0.0038
